Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,3741,1919,56000.0,51751.698130259356,1836.450099999638,120388.07219999944,130.43197006148088,24.500397028320304,12.567832637622738,56000,71000,78000,84000,87000,89000,93000,94000,120000,120000,120000
PUT,/orders,1,1,5795.476100000087,5795.476100000087,5795.476100000087,5795.476100000087,0.0,0.00654915718479559,0.00654915718479559,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
PUT,/orders?user_id=1006&order_date=2022-04-11+19%3A40%3A53,1,0,20024.34689999791,20024.34689999791,20024.34689999791,20024.34689999791,4.0,0.00654915718479559,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
PUT,/orders?user_id=1066&order_date=2022-04-11+19%3A39%3A35,1,0,7955.577100001392,7955.577100001392,7955.577100001392,7955.577100001392,4.0,0.00654915718479559,0.0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/orders?user_id=1081,1,0,38549.79579999781,38549.79579999781,38549.79579999781,38549.79579999781,9649.0,0.00654915718479559,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
PUT,/orders?user_id=1146&order_date=2022-04-11+19%3A39%3A07,1,1,2736.3658000031137,2736.3658000031137,2736.3658000031137,2736.3658000031137,21.0,0.00654915718479559,0.00654915718479559,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PUT,/orders?user_id=1146&order_date=2022-04-11+19%3A40%3A01,1,0,27014.160700000502,27014.160700000502,27014.160700000502,27014.160700000502,4.0,0.00654915718479559,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
PUT,/orders?user_id=1164&order_date=2022-04-11+19%3A40%3A26,1,0,34835.135600002104,34835.135600002104,34835.135600002104,34835.135600002104,4.0,0.00654915718479559,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
PUT,/orders?user_id=1174&order_date=2022-04-11+19%3A39%3A27,1,0,21008.513100001437,21008.513100001437,21008.513100001437,21008.513100001437,4.0,0.00654915718479559,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
PUT,/orders?user_id=1174&order_date=2022-04-11+19%3A39%3A57,1,0,20771.33640000102,20771.33640000102,20771.33640000102,20771.33640000102,4.0,0.00654915718479559,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/orders?user_id=1200,2,1,16000.0,26820.323300000382,15698.131299999659,37942.515300001105,2361.0,0.01309831436959118,0.00654915718479559,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
PUT,/orders?user_id=1203&order_date=2022-04-11+19%3A39%3A49,1,0,38608.76360000111,38608.76360000111,38608.76360000111,38608.76360000111,4.0,0.00654915718479559,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
PUT,/orders?user_id=1209&order_date=2022-04-11+19%3A39%3A26,1,0,22062.899699998525,22062.899699998525,22062.899699998525,22062.899699998525,4.0,0.00654915718479559,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
PUT,/orders?user_id=1209&order_date=2022-04-11+19%3A39%3A57,1,0,21210.959599997295,21210.959599997295,21210.959599997295,21210.959599997295,4.0,0.00654915718479559,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
PUT,/orders?user_id=1235&order_date=2022-04-11+19%3A39%3A48,1,0,41238.169299998845,41238.169299998845,41238.169299998845,41238.169299998845,4.0,0.00654915718479559,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
PUT,/orders?user_id=1238&order_date=2022-04-11+19%3A39%3A10,1,1,85386.82100000005,85386.82100000005,85386.82100000005,85386.82100000005,21.0,0.00654915718479559,0.00654915718479559,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
GET,/orders?user_id=1244,3,1,27000.0,27590.8002999992,19372.603399999207,36384.761099998286,2925.6666666666665,0.01964747155438677,0.00654915718479559,27000,27000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/orders?user_id=1249,4,0,17000.0,24377.77300000016,11536.66339999836,42983.483799998794,5239.0,0.02619662873918236,0.0,26000,26000,43000,43000,43000,43000,43000,43000,43000,43000,43000
PUT,/orders?user_id=1281&order_date=2022-04-11+19%3A40%3A42,1,0,22137.673900000664,22137.673900000664,22137.673900000664,22137.673900000664,4.0,0.00654915718479559,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/orders?user_id=1326,5,0,18000.0,19051.695919998747,6163.457399998151,40655.29879999667,4916.0,0.03274578592397795,0.0,18000,19000,19000,41000,41000,41000,41000,41000,41000,41000,41000
PUT,/orders?user_id=1327&order_date=2022-04-11+19%3A39%3A57,1,0,20659.955600000103,20659.955600000103,20659.955600000103,20659.955600000103,4.0,0.00654915718479559,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/orders?user_id=1366,1,0,36886.217499999475,36886.217499999475,36886.217499999475,36886.217499999475,3255.0,0.00654915718479559,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/orders?user_id=1386,2,0,24000.0,59772.93879999888,23517.664799997874,96028.21279999989,9486.0,0.01309831436959118,0.0,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000
GET,/orders?user_id=1405,3,1,15000.0,23786.360600000382,12863.046599999507,43185.055300000386,2424.3333333333335,0.01964747155438677,0.00654915718479559,15000,15000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/orders?user_id=1420,1,0,43784.40870000122,43784.40870000122,43784.40870000122,43784.40870000122,9686.0,0.00654915718479559,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/orders?user_id=1429,1,0,95096.78159999748,95096.78159999748,95096.78159999748,95096.78159999748,9741.0,0.00654915718479559,0.0,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000
PUT,/orders?user_id=1468&order_date=2022-04-11+19%3A39%3A31,1,0,13541.33020000154,13541.33020000154,13541.33020000154,13541.33020000154,4.0,0.00654915718479559,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
PUT,/orders?user_id=1509&order_date=2022-04-11+19%3A39%3A41,1,1,49723.907899999176,49723.907899999176,49723.907899999176,49723.907899999176,21.0,0.00654915718479559,0.00654915718479559,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/orders?user_id=1513,3,0,11000.0,13609.225499999107,10861.772100000962,18843.75159999763,6383.0,0.01964747155438677,0.0,11000,11000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/orders?user_id=1517,2,0,8700.0,9460.117950002314,8689.449200002855,10230.786700001772,10137.0,0.01309831436959118,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/orders?user_id=1522,1,0,22314.52790000185,22314.52790000185,22314.52790000185,22314.52790000185,7560.0,0.00654915718479559,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
PUT,/orders?user_id=1543&order_date=2022-04-11+19%3A39%3A48,1,1,41236.54810000153,41236.54810000153,41236.54810000153,41236.54810000153,21.0,0.00654915718479559,0.00654915718479559,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/orders?user_id=1583,2,0,19000.0,26855.909100000645,18838.596400000824,34873.221800000465,1718.0,0.01309831436959118,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,/orders?user_id=1610,1,1,42802.66990000018,42802.66990000018,42802.66990000018,42802.66990000018,21.0,0.00654915718479559,0.00654915718479559,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/orders?user_id=162,1,0,22639.7341999982,22639.7341999982,22639.7341999982,22639.7341999982,4184.0,0.00654915718479559,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/orders?user_id=1628,1,0,99254.8695000005,99254.8695000005,99254.8695000005,99254.8695000005,8549.0,0.00654915718479559,0.0,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
